HCC_N02;HCC_N04;CodeGroupeComptes;MontantTotal;Nombre_Facture;MontantRegularisation;TauxRegularisation;EcartMoyenRegul
REGION SUD;S.TVT CA;Z002;18357.025456550673;2999;2162.9417746179097;11.782637550606369;1772.7719068494575
REGION SUD;SECTEUR OCCITANIE EST;Z002;6528.4749804053372;1983;1941.126789700033;29.733234722138942;1550.9569219315808
REGION SUD;S.TRAITEMENT CA;Z002;9757.7002384269144;1418;1814.1888112490171;18.592381062338223;1424.018943480565
REGION SUD;S. BOUCHE DU RHONE;Z002;13611.094774602332;3907;1464.5427308530823;10.759918692108814;1074.3728630846301
REGION SUD;S.COLLECTE CA;Z002;9966.8375751566728;2979;1434.6641122608166;14.394376365045405;1044.4942444923645
REGION SUD;SECT TRAITEMENT LPC;Z002;10903.78057604182;2541;1289.6277310566904;11.82734485587785;899.45786328823829
REGION SUD;S. ALPES VAUCLUSE;Z002;9462.54935169947;3425;1180.1614303474441;12.471918364531305;789.991562578992
REGION SUD;SECT OCCITANIE OUEST;Z002;10230.51699257415;5905;1011.8902019233698;9.8908999677910039;621.72033415491751
REGION SUD;SECTEUR CHARENTES;Z002;6521.7873034992517;3076;954.33494189012106;14.633027688254638;564.16507412166879
REGION SUD;S. UVE TRI AQ (VALBOM);Z002;9135.09410464954;1918;858.95993531942327;9.4028580929695451;468.79006755097106
REGION SUD;S. RECYCLAGE AQ.;Z002;5534.9599856905988;2317;764.13299110746379;13.805573899051824;373.96312333901159
REGION SUD;S.TRAITEMENT CA;Z003;678.1875859375;6;678.1875859375;100.0;288.01771816904778
REGION SUD;SECTEUR UVE;Z002;10096.854968672258;2677;670.27556551265741;6.6384588824177095;280.1056977442052
REGION SUD;S. COLLECTE AQ;Z002;11770.175946975736;5334;615.26101646232655;5.2272881835756548;225.09114869387435
REGION SUD;S. TRAITEMENT AQ;Z002;2828.9199591612846;764;471.00070963287357;16.649488724754;80.830841864421359
REGION SUD;S.VAR;Z002;8016.3705592207662;2989;469.40753217315688;5.8556116974061867;79.237664404704674
REGION SUD;SECTEUR OCCITANIE CENTRE SUD;Z002;4509.83611782528;1801;458.9175111045833;10.175924337709221;68.747643336131091
REGION SUD;S.TERRITOIRE CAZ;Z002;2520.8375283327077;738;458.66704167652131;18.195025919813464;68.4971739080691
REGION SUD;SECTEUR LIMOUSIN;Z002;6413.2246048520965;3030;392.85038633060475;6.1256296252806006;2.6805185621525425
REGION SUD;SECTEUR SMTVD + MILLAU;Z002;4094.4228291826548;765;202.22617974972721;4.9390643855436007;-187.943688018725
REGION SUD;COMMUNS TER AQU;Z002;433.35840005874678;350;81.120459892272976;18.719023302946511;-309.0494078761792
REGION SUD;COMMUNS OCCITANIE;Z002;250.83244947957991;304;37.525209941864034;14.960269303162443;-352.64465782658817
REGION SUD;DIRECTION REGIONALE;Z002;352.39038009905812;154;31.030709697723392;8.80577661881705;-359.1391580707288
REGION SUD;S.TERRITOIRE PAL;Z002;119.44560027503974;119;21.538869750976563;18.032367622901461;-368.63099801747563
REGION SUD;S. RECYCLAGE AQ.;Z003;15.573690002441424;10;12.693200012207043;81.504126576406634;-377.47666775624515
REGION SUD;COMMUNS TER LPC;Z002;156.46207044982916;76;11.800890151977544;7.5423328593632517;-378.36897761647464
REGION SUD;SECT TRAITEMENT LPC;Z005;8.59540002441406;8;6.321;73.53933478425742;-383.84886776845218
REGION SUD;S.DIRECTION REGION;Z002;120.05851123714453;79;4.9018901062011722;4.0829176171598167;-385.26797766225104
REGION SUD;S. UVE TRI AQ (VALBOM);Z005;6.402000000000001;8;2.6365;41.182442986566684;-387.53336776845219
REGION SUD;SECTEUR CHARENTES;Z003;122.61675927734376;18;1.9950999755859398;1.6271021900630023;-388.17476779286625
REGION SUD;DIVERS SIEGE SUD;Z002;6.2;8;1.7999999999999998;29.032258064516125;-388.3698677684522
REGION SUD;S. COLLECTE AQ;Z003;17.332480117797868;21;1.123399993896484;6.4814728547873539;-389.04646777455571
REGION SUD;SECT OCCITANIE OUEST;Z003;8.3872599925994873;7;0.23125999450683643;2.7572770453150266;-389.93860777394536
REGION SUD;SECTEUR LIMOUSIN;Z003;485.52889364051816;19;0.17528000068664595;0.036100838278107075;-389.99458776776555
REGION SUD;SECT OCCITANIE OUEST;Z005;0.127;1;0.127;100.0;-390.0428677684522
REGION SUD;S. TRAITEMENT AQ;Z003;0.107639999389648;1;0.107639999389648;100.0;-390.06222776906253
REGION SUD;S.DIVERS REGION MED;Z002;7.22525;1;0.0;0.0;-390.16986776845221
REGION SUD;S. ALPES VAUCLUSE;Z003;2.40975;1;0.0;0.0;-390.16986776845221
REGION SUD;SECTEUR OCCITANIE CENTRE SUD;Z003;92.6003001098633;14;0.0;0.0;-390.16986776845221
REGION SUD;SECTEUR SMTVD + MILLAU;Z003;68.296386573791509;5;0.0;0.0;-390.16986776845221
REGION SUD;S.VAR;Z003;35.385;2;0.0;0.0;-390.16986776845221
REGION SUD;SECT TRAITEMENT LPC;Z003;35.4545390625;1;0.0;0.0;-390.16986776845221
REGION SUD;SECTEUR UVE;Z003;0.65920001220703162;6;0.0;0.0;-390.16986776845221
REGION SUD;S.COLLECTE CA;Z004;0.40460000610351604;1;0.0;0.0;-390.16986776845221
REGION SUD;DIRECTION REGIONALE;Z005;0.1;1;0.0;0.0;-390.16986776845221
REGION SUD;SECTEUR OCCITANIE CENTRE SUD;Z005;1.948;2;0.0;0.0;-390.16986776845221
REGION SUD;SECTEUR UVE;Z005;1.15;2;0.0;0.0;-390.16986776845221
REGION SUD;S. ALPES VAUCLUSE;Z005;1.1475;1;0.0;0.0;-390.16986776845221
REGION SUD;SECTEUR SMTVD + MILLAU;Z005;1.592;2;0.0;0.0;-390.16986776845221
REGION SUD;S. BOUCHE DU RHONE;Z005;1.05;1;0.0;0.0;-390.16986776845221
REGION RHIN RHONE;S. LORRAINE SUD COLLECTE;Z002;16014.455029621351;3679;2400.3471578636136;14.988628419910507;2127.0106653226781
REGION RHIN RHONE;S. MARNE ARDENNES;Z002;5700.3889455022936;1679;1149.5889984984394;20.166851937453938;876.2525059575039
REGION RHIN RHONE;S. RHONE NORD ISERE;Z002;13108.010290302522;4208;1142.9558510088912;8.71952207616487;869.61935846795564
REGION RHIN RHONE;S. DROME ALPES ARDECHE;Z002;13501.834008653434;4280;931.051815651417;6.8957433120174523;657.71532311048145
