IdService;IdSecteur;Region;Territoire;Secteur;IdCop;AnneeService;MoisService;SemaineService;JourService;DateService;CodeVehicule;LibelleVehicule;CodeTypeVehicule;LibTypeVehicule;CodeService;LibelleService;CodeSecteur;NumeroTour;LibelleAgence;CodeActivite;ContratLibelle;NbVidage;TempsCollecteHorsInterruption;TempsPause;TempsHLPHorsInterruption;TempsTotalHorsInterruption;KmCollecte;KmHLP;KmTotal;CodeDechet;Tonnage;TonnageHeureCollecte;DATEDEBUT
871379234;7918234;COU;T. LOIRE ATLANTIQUE VENDEE;S. NANTES COLLECTIVITES;8514;2018;4;14;VENDREDI;06/04/2018;R10736;R10736  Bi comp 26T;BOM2511;a-BOM  bicompartimentée >=19m3 avec  LC GO;068A_VE;068A CC Derval BC Ve Impaire;CC_Derval;1;Nantes Services Publics;CSPAP; Communauté de Communes de Derval;1;5,98;0,57;0,63;6,62;45;13;58;PC+PL+ME;0,54;0,09;06/04/2018 05:35
876380234;7918234;COU;T. LOIRE ATLANTIQUE VENDEE;S. NANTES COLLECTIVITES;8514;2018;5;18;VENDREDI;04/05/2018;R10723;R10723;BOM2511;a-BOM  bicompartimentée >=19m3 avec  LC GO;068A_VE;068A CC Derval BC Ve Impaire;CC_Derval;1;Nantes Services Publics;CSPAP; Communauté de Communes de Derval;1;6,48;0,32;1,27;7,75;103;6;109;OM;4,82;0,74;04/05/2018 07:41
871379234;7918234;COU;T. LOIRE ATLANTIQUE VENDEE;S. NANTES COLLECTIVITES;8514;2018;4;14;VENDREDI;06/04/2018;R10736;R10736  Bi comp 26T;BOM2511;a-BOM  bicompartimentée >=19m3 avec  LC GO;068A_VE;068A CC Derval BC Ve Impaire;CC_Derval;1;Nantes Services Publics;CSPAP; Communauté de Communes de Derval;1;5,98;0,57;0,63;6,62;45;13;58;OM;3,76;0,63;06/04/2018 05:35
876380234;7918234;COU;T. LOIRE ATLANTIQUE VENDEE;S. NANTES COLLECTIVITES;8514;2018;5;18;VENDREDI;04/05/2018;R10723;R10723;BOM2511;a-BOM  bicompartimentée >=19m3 avec  LC GO;068A_VE;068A CC Derval BC Ve Impaire;CC_Derval;1;Nantes Services Publics;CSPAP; Communauté de Communes de Derval;1;6,48;0,32;1,27;7,75;103;6;109;PC+PL+ME;0,86;0,13;04/05/2018 07:41
871379234;7918234;COU;T. LOIRE ATLANTIQUE VENDEE;S. NANTES COLLECTIVITES;8514;2018;4;14;VENDREDI;06/04/2018;R10736;R10736  Bi comp 26T;BOM2511;a-BOM  bicompartimentée >=19m3 avec  LC GO;068A_VE;068A CC Derval BC Ve Impaire;CC_Derval;2;Nantes Services Publics;CSPAP; Communauté de Communes de Derval;1;2,9;;0,63;3,53;71;13;84;OM;1,52;0,52;06/04/2018 05:35
871379234;7918234;COU;T. LOIRE ATLANTIQUE VENDEE;S. NANTES COLLECTIVITES;8514;2018;4;14;VENDREDI;06/04/2018;R10736;R10736  Bi comp 26T;BOM2511;a-BOM  bicompartimentée >=19m3 avec  LC GO;068A_VE;068A CC Derval BC Ve Impaire;CC_Derval;2;Nantes Services Publics;CSPAP; Communauté de Communes de Derval;1;2,9;;0,63;3,53;71;13;84;PC+PL+ME;0,38;0,13;06/04/2018 05:35
1022525234;7918234;COU;T. LOIRE ATLANTIQUE VENDEE;S. NANTES COLLECTIVITES;8514;2020;2;6;LUNDI;03/02/2020;R10704;R10704  Bi Comp;BOM2511;a-BOM  bicompartimentée >=19m3 avec  LC GO;069A;069A CC Derval BC;CC_Derval;1;Nantes Services Publics;CSPAP; Communauté de Communes de Derval;1;5,73;0,33;1,3;7,03;104;7;111;PC+PL+ME;0,8;0,14;03/02/2020 08:16
1013963234;7918234;COU;T. LOIRE ATLANTIQUE VENDEE;S. NANTES COLLECTIVITES;8514;2019;12;51;MERCREDI;18/12/2019;R10844;R10844  BICOMP 26T;BOM2518;BOM  bicompartimentée >=19m3 avec LC GO + AD Blue;069A;069A CC Derval BC;CC_Derval;1;Nantes Services Publics;CSPAP; Communauté de Communes de Derval;1;7,67;0,38;0,7;8,37;118;10;128;PC+PL+ME;1,44;0,19;18/12/2019 05:30
1001418234;7918234;COU;T. LOIRE ATLANTIQUE VENDEE;S. NANTES COLLECTIVITES;8514;2019;10;42;MARDI;15/10/2019;R10844;R10844  BICOMP 26T;BOM2518;BOM  bicompartimentée >=19m3 avec LC GO + AD Blue;069A;069A CC Derval BC;CC_Derval;1;Nantes Services Publics;CSPAP; Communauté de Communes de Derval;1;8,45;0,33;1,22;9,67;123;20;143;OM;4,72;0,56;15/10/2019 05:31
1075968234;7918234;COU;T. LOIRE ATLANTIQUE VENDEE;S. NANTES COLLECTIVITES;8514;2020;9;40;MERCREDI;30/09/2020;R10704;R10704  Bi Comp;BOM2511;a-BOM  bicompartimentée >=19m3 avec  LC GO;069A;069A CC Derval BC;CC_Derval;1;Nantes Services Publics;CSPAP; Communauté de Communes de Derval;1;5,27;;0,98;6,25;81;25;106;PC+PL+ME;0,84;0,16;30/09/2020 05:37
